"","parcelid","bathroomcnt","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","finishedsquarefeet12","fips","fullbathcnt","latitude","longitude","lotsizesquarefeet","propertycountylandusecode","propertylandusetypeid","rawcensustractandblock","regionidcity","regionidcounty","regionidzip","roomcnt","yearbuilt","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount"
"1662611",12264741,2,4,2,1244,1244,6037,2,33891345,-118244828,5111,"0100",261,60375429.002001,24174,3101,96090,0,1956,88418,192441,2016,104023,3508.69
"414454",14160756,2,2,2,1097,1097,6059,2,33918472,-117868854,4060,"122",261,60590218.141011,17150,1286,97035,4,1977,106872,197357,2016,90485,2440.26
"2565802",17237244,1.5,2,1.5,1712,1712,6111,1,34280183,-118703331,17088,"1110",261,61110082.012041,27110,2061,97116,6,1955,114423,338071,2016,223648,4086.12
"1351521",12851940,2,4,2,1400,1400,6037,2,33978201,-117880857,6033,"0100",261,60374087.052015,22827,3101,96492,0,1964,52567,77108,2016,24541,1272.48
"1329254",10879710,1,1,1,696,696,6037,1,34190600,-118371000,43141,"010C",266,60371232.061007,12447,3101,96451,0,1970,56080,70094,2016,14014,913.8
"68291",12724897,1,3,1,1139,1139,6037,1,33918150,-118087262,5623,"0100",261,60375502.025006,53636,3101,96193,0,1955,118000,387000,2016,269000,4911.34
"2495642",11883728,3,4,3,2091,2091,6037,3,34099400,-118146598,7500,"0100",261,60374805.002016,27183,3101,96280,0,1928,129379,417327,2016,287948,4981.84
"1216482",12677253,3,4,3,2139,2139,6037,3,33845400,-118361000,46984,"010C",266,60376506.023008,54722,3101,96161,0,1998,256223,442845,2016,186622,5123.07
"1469311",12499296,2,4,2,1494,1494,6037,2,33816376,-118200080,7102,"0100",261,60375722.013009,46298,3101,96240,0,1944,31248,55248,2016,24000,767.36
"429138",14096520,2,3,2,1425,1425,6059,2,33781944,-118043251,2590,"122",261,60591100.153046,46314,1286,96218,6,1970,108464,560226,2016,451762,6579.98
"144803",13913084,1,3,1,962,962,6059,1,33833906,-117951859,7222,"122",261,60590871.022005,16764,1286,97020,6,1953,34078,58101,2016,24023,916.28
"1366023",12752712,3,4,3,1676,1676,6037,3,33899092,-117990522,5497,"0100",261,60375038.011005,5465,3101,96190,0,1957,96097,273658,2016,177561,3593.29
"65078",11912724,2,3,2,1406,1406,6037,2,34107491,-118109109,5944,"0100",261,60374802.011014,33837,3101,96514,0,1938,110715,313628,2016,202913,4342.19
"2641530",10941402,1,2,1,882,882,6037,1,34167177,-118328722,6749,"0100",261,60373108.00502,396054,3101,96438,0,1949,85943,429718,2016,343775,4706.61
"583499",10837185,2,4,2,1584,1584,6037,2,34191429,-118494441,6000,"0100",261,60371321.011007,12447,3101,96415,0,1950,150432,367965,2016,217533,4449.76
"2365814",12918293,2,3,2,1572,1572,6037,2,34095505,-117931513,7871,"0101",261,60374054.004,24245,3101,96473,0,1960,118972,224910,2016,105938,3036.51
"1631197",11902366,2,3,2,1658,1658,6037,2,34082186,-118115315,5979,"0100",261,60374815.003017,50677,3101,96531,0,1948,118970,220652,2016,101682,2809.75
"978288",12748477,2,3,2,1466,1466,6037,2,33908334,-118029128,5731,"0100",261,60375041.012004,5465,3101,96190,0,1957,104378,172694,2016,68316,2471.39
"1571875",11958606,2,4,2,1717,1717,6037,2,34095525,-118226041,6495,"0100",261,60371853.101001,12447,3101,96046,0,1925,86195,293863,2016,207668,3576.63
"294309",13998509,2,4,2,1504,1504,6059,2,33787673,-118025722,6200,"122",261,60591100.032002,24832,1286,97052,7,1959,82207,204754,2016,122547,2898.9
"995079",13933031,1,3,1,1101,1101,6059,1,33784673,-117937141,11800,"122",261,60590883.022001,24832,1286,97047,5,1950,43593,416094,2016,372501,5229.66
"606928",13858354,2,2,2,1797,1797,6059,2,33674298,-117999687,7765,"122",261,60590993.092014,25218,1286,96966,6,1963,142826,1035986,2016,893160,11542.82
"971336",10862807,2,2,2,887,887,6037,2,34151700,-118459000,18822,"010E",266,60371413.023,12447,3101,96412,0,1987,113554,222116,2016,108562,2734.56
"355724",14476233,2,3,2,1472,1472,6059,2,33621433,-117635217,3478,"122",261,60590320.373014,12773,1286,96996,6,1980,40874,67352,2016,26478,629.42
"709026",12520683,3,4,3,3315,3315,6037,3,33773942,-118106732,9439,"0100",261,60375776.022003,46298,3101,96237,0,1978,233420,331359,2016,97939,4108.87
"2847350",11296922,3,4,3,2244,2244,6037,3,34701585,-118095465,6953,"0101",261,60379006.091018,5534,3101,97318,0,2005,164300,257000,2016,92700,4874.05
"1263350",13865511,2,2,2,1275,1275,6059,2,33670416,-117989037,6750,"122",261,60590993.061005,25218,1286,96966,5,1979,112913,252322,2016,139409,3091.4
"1651884",14033285,2.5,7,2.5,2260,2260,6059,2,33718938,-117929543,7200,"122",261,60590992.262019,8384,1286,97008,9,1970,129962,769000,2016,639038,8647.3
"707869",12250174,2,2,2,1203,1203,6037,2,33891500,-118294000,34120,"010C",266,60376031.013002,45398,3101,96104,0,1980,128167,181938,2016,53771,2265.58
"2937046",11781277,1,1,1,960,960,6037,1,34041500,-118263000,38726,"010C",266,60372079.002009,12447,3101,95996,0,2005,409036,491878,2016,82842,6261.88
"1999092",17105260,3,4,3,2150,2150,6111,3,34265678,-118978259,83199,"1110",261,61110051.003085,34037,2061,97119,6,1953,89021,130410,2016,41389,1391.74
"1791787",10840016,2,3,2,1572,1572,6037,2,34193263,-118444826,6013,"0100",261,60371281.021002,12447,3101,96414,0,1960,98277,220704,2016,122427,2694.12
"1553142",10870059,3,4,3,2683,2683,6037,3,34146473,-118500805,13333,"0101",261,60371397.02401,12447,3101,96426,0,1959,115339,183251,2016,67912,2416.42
"314917",10852224,1,1,1,683,683,6037,1,34169800,-118517000,406305,"010E",266,60371396.001,12447,3101,96349,0,1971,63351,94764,2016,31413,1206.14
"1924995",17244589,2,4,2,1462,1462,6111,2,34276372,-118761130,5470,"1111",261,61110079.013,27110,2061,97118,7,1969,53228,69896,2016,16668,1124.08
"2302249",11998580,4,4,4,4497,4497,6037,4,34082635,-118355735,6348,"0100",261,60371920.022011,12447,3101,96017,0,1924,391846,596178,2016,204332,7350.95
"1831944",14255552,2,3,2,1592,1592,6059,2,33757276,-117818027,10455,"122",261,60590757.021004,27491,1286,97016,6,1959,106030,461730,2016,355700,5335.28
"2915403",12504289,2,5,2,1800,1800,6037,2,33792359,-118182718,6509,"0100",261,60375732.022,46298,3101,96240,0,1905,21016,37972,2016,16956,644.64
"1664698",12785997,1,1,1,736,736,6037,1,33983799,-118051139,5245,"0100",261,60375014.003014,14634,3101,96169,0,1923,77664,388324,2016,310660,4824.6
"988643",11578736,5,5,5,3648,3648,6037,5,34036815,-118483605,7982,"0100",261,60377016.014006,26964,3101,96150,0,1931,592933,2964670,2016,2371737,34416.79
"344778",10843351,2,1,2,1050,1050,6037,2,34186300,-118461000,66281,"010C",266,60371283.021,12447,3101,96420,0,1977,102137,146212,2016,44075,1768.41
"2760099",10790342,2,3,2,1400,1400,6037,2,34192854,-118607917,8251,"0101",261,60371351.112002,12447,3101,96338,0,1956,167811,479776,2016,311965,5850.06
"2521659",10766684,3,4,3,1843,1843,6037,3,34218218,-118570969,5699,"0100",261,60371341.031,12447,3101,96341,0,1979,164583,312495,2016,147912,3857.19
"1057553",14352476,3.5,5,3.5,3074,3074,6059,3,33733246,-117761207,6322,"1",261,60590524.202038,52650,1286,96939,0,2001,418143,997376,2016,579233,13217.4
"826469",12094485,4,4,4,4498,4498,6037,4,34166259,-118174552,19387,"0101",261,60374608.002021,47019,3101,96291,0,1947,894107,2130475,2016,1236368,24376.62
"2806768",11293797,2,4,2,1227,1227,6037,2,34697148,-118117323,6594,"0100",261,60379006.061007,5534,3101,97318,0,1957,31661,40334,2016,8673,1183.36
"220662",14241516,2,3,2,1148,1148,6059,2,33786445,-117877593,6014,"122",261,60590760.003,33252,1286,97066,7,1954,40839,123878,2016,83039,1625.98
"52081",12418545,2,3,2,2009,2009,6037,2,33863754,-118083744,13032,"0100",261,60375549.004006,30267,3101,96204,0,1947,33520,72220,2016,38700,1281.38
"158249",12827467,2,3,2,1551,1551,6037,2,33937048,-117986893,6078,"0100",261,60375034.014007,14634,3101,96171,0,1953,65385,98704,2016,33319,1592.88
"1348581",12145653,4,6,4,3281,3281,6037,4,34115691,-118035619,24336,"0101",261,60374317.004001,50749,3101,96268,0,1950,109038,171770,2016,62732,2436.55
"605792",12854851,2,4,2,1288,1288,6037,2,33980111,-117836879,8068,"0100",261,60374033.252003,24384,3101,96505,0,1962,119041,300677,2016,181636,3668.94
"2712972",12454232,1,1,1,1476,1476,6037,1,33855671,-118194139,4077,"0100",261,60375703.042006,46298,3101,96239,0,1989,97000,255000,2016,158000,3129.42
"629572",11194477,3,2,3,1443,1443,6037,3,34608389,-118132953,127960,"010C",266,60379102.01102,40227,3101,97329,0,1978,99566,124456,2016,24890,2143.71
